Date	14c	Ar39	CFC11	CFC12	CFC113	SF6	tritium	85Kr
1328.9	100	100	0	0	0	0	1.5	0
1329	100	100	0	0	0	0	1.5	0
1329.1	100	100	0	0	0	0	1.5	0
1329.2	100	100	0	0	0	0	1.5	0
1329.3	100	100	0	0	0	0	1.5	0
1329.4	100	100	0	0	0	0	1.5	0
1329.5	100	100	0	0	0	0	1.5	0
1329.6	100	100	0	0	0	0	1.5	0
1329.7	100	100	0	0	0	0	1.5	0
1329.8	100	100	0	0	0	0	1.5	0
1329.9	100	100	0	0	0	0	1.5	0
1330	100	100	0	0	0	0	1.5	0
1330.1	100	100	0	0	0	0	1.5	0
1330.2	100	100	0	0	0	0	1.5	0
1330.3	100	100	0	0	0	0	1.5	0
1330.4	100	100	0	0	0	0	1.5	0
1330.5	100	100	0	0	0	0	1.5	0
1330.6	100	100	0	0	0	0	1.5	0
1330.7	100	100	0	0	0	0	1.5	0
1330.8	100	100	0	0	0	0	1.5	0
1330.9	100	100	0	0	0	0	1.5	0
1331	100	100	0	0	0	0	1.5	0
1331.1	100	100	0	0	0	0	1.5	0
1331.2	100	100	0	0	0	0	1.5	0
1331.3	100	100	0	0	0	0	1.5	0
1331.4	100	100	0	0	0	0	1.5	0
1331.5	100	100	0	0	0	0	1.5	0
1331.6	100	100	0	0	0	0	1.5	0
1331.7	100	100	0	0	0	0	1.5	0
1331.8	100	100	0	0	0	0	1.5	0
1331.9	100	100	0	0	0	0	1.5	0
1332	100	100	0	0	0	0	1.5	0
1332.1	100	100	0	0	0	0	1.5	0
1332.2	100	100	0	0	0	0	1.5	0
1332.3	100	100	0	0	0	0	1.5	0
1332.4	100	100	0	0	0	0	1.5	0
1332.5	100	100	0	0	0	0	1.5	0
1332.6	100	100	0	0	0	0	1.5	0
1332.7	100	100	0	0	0	0	1.5	0
1332.8	100	100	0	0	0	0	1.5	0
1332.9	100	100	0	0	0	0	1.5	0
1333	100	100	0	0	0	0	1.5	0
1333.1	100	100	0	0	0	0	1.5	0
1333.2	100	100	0	0	0	0	1.5	0
1333.3	100	100	0	0	0	0	1.5	0
1333.4	100	100	0	0	0	0	1.5	0
1333.5	100	100	0	0	0	0	1.5	0
1333.6	100	100	0	0	0	0	1.5	0
1333.7	100	100	0	0	0	0	1.5	0
1333.8	100	100	0	0	0	0	1.5	0
1333.9	100	100	0	0	0	0	1.5	0
1334	100	100	0	0	0	0	1.5	0
1334.1	100	100	0	0	0	0	1.5	0
1334.2	100	100	0	0	0	0	1.5	0
1334.3	100	100	0	0	0	0	1.5	0
1334.4	100	100	0	0	0	0	1.5	0
1334.5	100	100	0	0	0	0	1.5	0
1334.6	100	100	0	0	0	0	1.5	0
1334.7	100	100	0	0	0	0	1.5	0
1334.8	100	100	0	0	0	0	1.5	0
1334.9	100	100	0	0	0	0	1.5	0
1335	100	100	0	0	0	0	1.5	0
1335.1	100	100	0	0	0	0	1.5	0
1335.2	100	100	0	0	0	0	1.5	0
1335.3	100	100	0	0	0	0	1.5	0
1335.4	100	100	0	0	0	0	1.5	0
1335.5	100	100	0	0	0	0	1.5	0
1335.6	100	100	0	0	0	0	1.5	0
1335.7	100	100	0	0	0	0	1.5	0
1335.8	100	100	0	0	0	0	1.5	0
1335.9	100	100	0	0	0	0	1.5	0
1336	100	100	0	0	0	0	1.5	0
1336.1	100	100	0	0	0	0	1.5	0
1336.2	100	100	0	0	0	0	1.5	0
1336.3	100	100	0	0	0	0	1.5	0
1336.4	100	100	0	0	0	0	1.5	0
1336.5	100	100	0	0	0	0	1.5	0
1336.6	100	100	0	0	0	0	1.5	0
1336.7	100	100	0	0	0	0	1.5	0
1336.8	100	100	0	0	0	0	1.5	0
1336.9	100	100	0	0	0	0	1.5	0
1337	100	100	0	0	0	0	1.5	0
1337.1	100	100	0	0	0	0	1.5	0
1337.2	100	100	0	0	0	0	1.5	0
1337.3	100	100	0	0	0	0	1.5	0
1337.4	100	100	0	0	0	0	1.5	0
1337.5	100	100	0	0	0	0	1.5	0
1337.6	100	100	0	0	0	0	1.5	0
1337.7	100	100	0	0	0	0	1.5	0
1337.8	100	100	0	0	0	0	1.5	0
1337.9	100	100	0	0	0	0	1.5	0
1338	100	100	0	0	0	0	1.5	0
1338.1	100	100	0	0	0	0	1.5	0
1338.2	100	100	0	0	0	0	1.5	0
1338.3	100	100	0	0	0	0	1.5	0
1338.4	100	100	0	0	0	0	1.5	0
1338.5	100	100	0	0	0	0	1.5	0
1338.6	100	100	0	0	0	0	1.5	0
1338.7	100	100	0	0	0	0	1.5	0
1338.8	100	100	0	0	0	0	1.5	0
1338.9	100	100	0	0	0	0	1.5	0
1339	100	100	0	0	0	0	1.5	0
1339.1	100	100	0	0	0	0	1.5	0
1339.2	100	100	0	0	0	0	1.5	0
1339.3	100	100	0	0	0	0	1.5	0
1339.4	100	100	0	0	0	0	1.5	0
1339.5	100	100	0	0	0	0	1.5	0
1339.6	100	100	0	0	0	0	1.5	0
1339.7	100	100	0	0	0	0	1.5	0
1339.8	100	100	0	0	0	0	1.5	0
1339.9	100	100	0	0	0	0	1.5	0
1340	100	100	0	0	0	0	1.5	0
1340.1	100	100	0	0	0	0	1.5	0
1340.2	100	100	0	0	0	0	1.5	0
1340.3	100	100	0	0	0	0	1.5	0
1340.4	100	100	0	0	0	0	1.5	0
1340.5	100	100	0	0	0	0	1.5	0
1340.6	100	100	0	0	0	0	1.5	0
1340.7	100	100	0	0	0	0	1.5	0
1340.8	100	100	0	0	0	0	1.5	0
1340.9	100	100	0	0	0	0	1.5	0
1341	100	100	0	0	0	0	1.5	0
1341.1	100	100	0	0	0	0	1.5	0
1341.2	100	100	0	0	0	0	1.5	0
1341.3	100	100	0	0	0	0	1.5	0
1341.4	100	100	0	0	0	0	1.5	0
1341.5	100	100	0	0	0	0	1.5	0
1341.6	100	100	0	0	0	0	1.5	0
1341.7	100	100	0	0	0	0	1.5	0
1341.8	100	100	0	0	0	0	1.5	0
1341.9	100	100	0	0	0	0	1.5	0
1342	100	100	0	0	0	0	1.5	0
1342.1	100	100	0	0	0	0	1.5	0
